Category,Condition,No_of_studies
Diseases and Abnormalities at or Before Birth,"Pyruvate Metabolism, Inborn Errors",19
Diseases and Abnormalities at or Before Birth,Refsum Disease,6
Diseases and Abnormalities at or Before Birth,"Refsum Disease, Infantile",4
Diseases and Abnormalities at or Before Birth,"Renal Tubular Transport, Inborn Errors",161
Diseases and Abnormalities at or Before Birth,"Respiratory Distress Syndrome, Newborn",939
Diseases and Abnormalities at or Before Birth,Respiratory System Abnormalities,51
Diseases and Abnormalities at or Before Birth,Retinitis Pigmentosa,153
Diseases and Abnormalities at or Before Birth,Retinopathy of Prematurity,99
Diseases and Abnormalities at or Before Birth,Retrognathia,11
Diseases and Abnormalities at or Before Birth,Rett Syndrome,68
Diseases and Abnormalities at or Before Birth,Romano-Ward Syndrome,3
Diseases and Abnormalities at or Before Birth,Rothmund-Thomson Syndrome,2
Diseases and Abnormalities at or Before Birth,"Rubella Syndrome, Congenital",1
Diseases and Abnormalities at or Before Birth,Rubinstein-Taybi Syndrome,1
Diseases and Abnormalities at or Before Birth,Sandhoff Disease,16
Diseases and Abnormalities at or Before Birth,Sarcoglycanopathies,6
Diseases and Abnormalities at or Before Birth,Scimitar Syndrome,1
Diseases and Abnormalities at or Before Birth,Septo-Optic Dysplasia,3
Diseases and Abnormalities at or Before Birth,Severe Combined Immunodeficiency,66
Diseases and Abnormalities at or Before Birth,Sex Chromosome Disorders,203
Diseases and Abnormalities at or Before Birth,Sex Chromosome Disorders of Sex Development,129
Diseases and Abnormalities at or Before Birth,Sialic Acid Storage Disease,1
Diseases and Abnormalities at or Before Birth,Sickle Cell Trait,23
Diseases and Abnormalities at or Before Birth,Silver-Russell Syndrome,3
Diseases and Abnormalities at or Before Birth,Situs Inversus,53
Diseases and Abnormalities at or Before Birth,Sjogren-Larsson Syndrome,3
Diseases and Abnormalities at or Before Birth,Skin Abnormalities,283
Diseases and Abnormalities at or Before Birth,"Skin Diseases, Genetic",1130
Diseases and Abnormalities at or Before Birth,Smith-Lemli-Opitz Syndrome,14
Diseases and Abnormalities at or Before Birth,Smith-Magenis Syndrome,12
Diseases and Abnormalities at or Before Birth,"Spastic Paraplegia, Hereditary",12
Diseases and Abnormalities at or Before Birth,"Spherocytosis, Hereditary",4
Diseases and Abnormalities at or Before Birth,Sphingolipidoses,320
Diseases and Abnormalities at or Before Birth,Spina Bifida Cystica,30
Diseases and Abnormalities at or Before Birth,Spina Bifida Occulta,2
Diseases and Abnormalities at or Before Birth,Spinal Dysraphism,109
Diseases and Abnormalities at or Before Birth,Spinal Muscular Atrophies of Childhood,22
Diseases and Abnormalities at or Before Birth,Spinocerebellar Ataxias,133
Diseases and Abnormalities at or Before Birth,Spinocerebellar Degenerations,133
Diseases and Abnormalities at or Before Birth,"Steroid Metabolism, Inborn Errors",68
Diseases and Abnormalities at or Before Birth,Stomatognathic System Abnormalities,219
Diseases and Abnormalities at or Before Birth,Sulfatidosis,30
Diseases and Abnormalities at or Before Birth,Syndactyly,6
Diseases and Abnormalities at or Before Birth,"Syphilis, Congenital",2
Diseases and Abnormalities at or Before Birth,Talipes,71
Diseases and Abnormalities at or Before Birth,Tangier Disease,5
Diseases and Abnormalities at or Before Birth,Tay-Sachs Disease,21
Diseases and Abnormalities at or Before Birth,"Telangiectasia, Hereditary Hemorrhagic",58
Diseases and Abnormalities at or Before Birth,Tetralogy of Fallot,51
Diseases and Abnormalities at or Before Birth,Thalassemia,319
Diseases and Abnormalities at or Before Birth,Thrombasthenia,10
Diseases and Abnormalities at or Before Birth,"Thrombocytopenia, Neonatal Alloimmune",8
Diseases and Abnormalities at or Before Birth,Thyroid Dysgenesis,1
Diseases and Abnormalities at or Before Birth,Tooth Abnormalities,59
Diseases and Abnormalities at or Before Birth,"Tooth, Supernumerary",2
Diseases and Abnormalities at or Before Birth,Tourette Syndrome,154
Diseases and Abnormalities at or Before Birth,"Toxoplasmosis, Congenital",5
Diseases and Abnormalities at or Before Birth,Tracheobronchomalacia,10
Diseases and Abnormalities at or Before Birth,Tracheobronchomegaly,1
Diseases and Abnormalities at or Before Birth,Tracheomalacia,5
Diseases and Abnormalities at or Before Birth,Transient Tachypnea of the Newborn,25
Diseases and Abnormalities at or Before Birth,Transposition of Great Vessels,34
Diseases and Abnormalities at or Before Birth,Trichothiodystrophy Syndromes,1
Diseases and Abnormalities at or Before Birth,Tricuspid Atresia,7
Diseases and Abnormalities at or Before Birth,Trisomy 13 Syndrome,20
Diseases and Abnormalities at or Before Birth,Trisomy 18 Syndrome,23
Diseases and Abnormalities at or Before Birth,"Truncus Arteriosus, Persistent",2
Diseases and Abnormalities at or Before Birth,Tuberous Sclerosis,63
Diseases and Abnormalities at or Before Birth,Turner Syndrome,162
Diseases and Abnormalities at or Before Birth,"Twins, Conjoined",1
Diseases and Abnormalities at or Before Birth,Tyrosinemias,10
Diseases and Abnormalities at or Before Birth,Unverricht-Lundborg Syndrome,5
Diseases and Abnormalities at or Before Birth,"Urea Cycle Disorders, Inborn",54
Diseases and Abnormalities at or Before Birth,Urogenital Abnormalities,368
Diseases and Abnormalities at or Before Birth,Usher Syndromes,16
Diseases and Abnormalities at or Before Birth,Vascular Malformations,300
Diseases and Abnormalities at or Before Birth,Vascular Ring,1
Diseases and Abnormalities at or Before Birth,Vein of Galen Malformations,1
Diseases and Abnormalities at or Before Birth,Velopharyngeal Insufficiency,8
Diseases and Abnormalities at or Before Birth,Vitelliform Macular Dystrophy,5
Diseases and Abnormalities at or Before Birth,Von Hippel-Lindau Disease,35
Diseases and Abnormalities at or Before Birth,"Von Willebrand Disease, Type 1",5
Diseases and Abnormalities at or Before Birth,"Von Willebrand Disease, Type 2",2
Diseases and Abnormalities at or Before Birth,"Von Willebrand Disease, Type 3",3
Diseases and Abnormalities at or Before Birth,Von Willebrand Diseases,59
Diseases and Abnormalities at or Before Birth,Waardenburg Syndrome,1
Diseases and Abnormalities at or Before Birth,WAGR Syndrome,3
Diseases and Abnormalities at or Before Birth,Walker-Warburg Syndrome,1
Diseases and Abnormalities at or Before Birth,Werner Syndrome,1
Diseases and Abnormalities at or Before Birth,Williams Syndrome,13
Diseases and Abnormalities at or Before Birth,Wilms Tumor,205
Diseases and Abnormalities at or Before Birth,Wiskott-Aldrich Syndrome,36
Diseases and Abnormalities at or Before Birth,Wolf-Hirschhorn Syndrome,1
Diseases and Abnormalities at or Before Birth,Wolff-Parkinson-White Syndrome,4
Diseases and Abnormalities at or Before Birth,Wolfram Syndrome,6
Diseases and Abnormalities at or Before Birth,Wolman Disease,27
Diseases and Abnormalities at or Before Birth,X-Linked Combined Immunodeficiency Diseases,15
Diseases and Abnormalities at or Before Birth,"Xanthomatosis, Cerebrotendinous",5
Diseases and Abnormalities at or Before Birth,Xeroderma Pigmentosum,9
Diseases and Abnormalities at or Before Birth,Zellweger Syndrome,5
Disorders of Environmental Origin,Environmental Illness,9
Disorders of Environmental Origin,Multiple Chemical Sensitivity,7
"Ear, Nose, and Throat Diseases",Aphonia,1
"Ear, Nose, and Throat Diseases","Auditory Diseases, Central",21
"Ear, Nose, and Throat Diseases",Auditory Perceptual Disorders,22
"Ear, Nose, and Throat Diseases",Benign Paroxysmal Positional Vertigo,31
"Ear, Nose, and Throat Diseases",Bilateral Vestibulopathy,3
"Ear, Nose, and Throat Diseases",Choanal Atresia,1
"Ear, Nose, and Throat Diseases","Cholesteatoma, Middle Ear",1
"Ear, Nose, and Throat Diseases",Ciliary Motility Disorders,35
"Ear, Nose, and Throat Diseases",Cochlear Diseases,1
"Ear, Nose, and Throat Diseases",Congenital Microtia,7
"Ear, Nose, and Throat Diseases",Croup,11
"Ear, Nose, and Throat Diseases",Deafness,589
"Ear, Nose, and Throat Diseases",Deglutition Disorders,1160
"Ear, Nose, and Throat Diseases",Dysphonia,85
"Ear, Nose, and Throat Diseases","Ear Deformities, Acquired",2
"Ear, Nose, and Throat Diseases",Ear Diseases,1291
"Ear, Nose, and Throat Diseases",Earache,11
"Ear, Nose, and Throat Diseases",Endolymphatic Hydrops,37
"Ear, Nose, and Throat Diseases",Epistaxis,49
"Ear, Nose, and Throat Diseases",Ethmoid Sinusitis,5
"Ear, Nose, and Throat Diseases",Frontal Sinusitis,3
"Ear, Nose, and Throat Diseases","Granuloma, Laryngeal",1
"Ear, Nose, and Throat Diseases",Hearing Disorders,749
"Ear, Nose, and Throat Diseases",Hearing Loss,589
"Ear, Nose, and Throat Diseases","Hearing Loss, Bilateral",25
"Ear, Nose, and Throat Diseases","Hearing Loss, Central",2
"Ear, Nose, and Throat Diseases","Hearing Loss, Conductive",43
"Ear, Nose, and Throat Diseases","Hearing Loss, Functional",2
"Ear, Nose, and Throat Diseases","Hearing Loss, High-Frequency",3
"Ear, Nose, and Throat Diseases","Hearing Loss, Mixed Conductive-Sensorineural",20
"Ear, Nose, and Throat Diseases","Hearing Loss, Noise-Induced",19
"Ear, Nose, and Throat Diseases","Hearing Loss, Sensorineural",184
"Ear, Nose, and Throat Diseases","Hearing Loss, Sudden",13
"Ear, Nose, and Throat Diseases","Hearing Loss, Unilateral",27
"Ear, Nose, and Throat Diseases",Herpes Zoster Oticus,1
"Ear, Nose, and Throat Diseases",Hoarseness,85
"Ear, Nose, and Throat Diseases",Hyperacusis,14
"Ear, Nose, and Throat Diseases",Hypopharyngeal Neoplasms,28
"Ear, Nose, and Throat Diseases",Kartagener Syndrome,34
"Ear, Nose, and Throat Diseases",Labyrinth Diseases,200
"Ear, Nose, and Throat Diseases",Labyrinthitis,200
"Ear, Nose, and Throat Diseases",Laryngeal Diseases,676
"Ear, Nose, and Throat Diseases",Laryngeal Edema,6
"Ear, Nose, and Throat Diseases",Laryngeal Neoplasms,152
"Ear, Nose, and Throat Diseases",Laryngeal Nerve Injuries,4
"Ear, Nose, and Throat Diseases",Laryngismus,10
"Ear, Nose, and Throat Diseases",Laryngitis,25
"Ear, Nose, and Throat Diseases",Laryngomalacia,9
"Ear, Nose, and Throat Diseases",Laryngostenosis,6
"Ear, Nose, and Throat Diseases",Mastoiditis,4
"Ear, Nose, and Throat Diseases",Maxillary Sinus Neoplasms,2
"Ear, Nose, and Throat Diseases",Maxillary Sinusitis,10
"Ear, Nose, and Throat Diseases",Meniere Disease,38
"Ear, Nose, and Throat Diseases",Nasal Obstruction,52
"Ear, Nose, and Throat Diseases",Nasal Polyps,110
"Ear, Nose, and Throat Diseases",Nasal Septal Perforation,2
"Ear, Nose, and Throat Diseases",Nasopharyngeal Carcinoma,587
"Ear, Nose, and Throat Diseases",Nasopharyngeal Diseases,448
"Ear, Nose, and Throat Diseases",Nasopharyngeal Neoplasms,446
"Ear, Nose, and Throat Diseases",Nasopharyngitis,2
"Ear, Nose, and Throat Diseases",Neurofibromatosis 2,44
"Ear, Nose, and Throat Diseases","Neuroma, Acoustic",69
"Ear, Nose, and Throat Diseases","Nose Deformities, Acquired",6
"Ear, Nose, and Throat Diseases",Nose Diseases,1423
"Ear, Nose, and Throat Diseases",Nose Neoplasms,59
"Ear, Nose, and Throat Diseases",Oropharyngeal Neoplasms,224
"Ear, Nose, and Throat Diseases",Otitis,279
"Ear, Nose, and Throat Diseases",Otitis Externa,24
"Ear, Nose, and Throat Diseases",Otitis Media,219
"Ear, Nose, and Throat Diseases",Otitis Media with Effusion,59
"Ear, Nose, and Throat Diseases","Otitis Media, Suppurative",8
"Ear, Nose, and Throat Diseases",Otomycosis,6
"Ear, Nose, and Throat Diseases",Otorhinolaryngologic Neoplasms,788
"Ear, Nose, and Throat Diseases",Otosclerosis,12
"Ear, Nose, and Throat Diseases",Paranasal Sinus Diseases,379
"Ear, Nose, and Throat Diseases",Paranasal Sinus Neoplasms,54
"Ear, Nose, and Throat Diseases",Peritonsillar Abscess,12
"Ear, Nose, and Throat Diseases",Pharyngeal Diseases,1111
"Ear, Nose, and Throat Diseases",Pharyngeal Neoplasms,655
"Ear, Nose, and Throat Diseases",Pharyngitis,227
"Ear, Nose, and Throat Diseases",Presbycusis,25
"Ear, Nose, and Throat Diseases",Recurrent Laryngeal Nerve Injuries,4
"Ear, Nose, and Throat Diseases",Retrocochlear Diseases,107
"Ear, Nose, and Throat Diseases",Retropharyngeal Abscess,1
"Ear, Nose, and Throat Diseases",Rhinitis,971
"Ear, Nose, and Throat Diseases","Rhinitis, Allergic",859
"Ear, Nose, and Throat Diseases","Rhinitis, Allergic, Perennial",163
"Ear, Nose, and Throat Diseases","Rhinitis, Allergic, Seasonal",390
"Ear, Nose, and Throat Diseases","Rhinitis, Atrophic",3
"Ear, Nose, and Throat Diseases","Rhinitis, Vasomotor",9
"Ear, Nose, and Throat Diseases",Rhinoscleroma,2
"Ear, Nose, and Throat Diseases",Sinusitis,319
"Ear, Nose, and Throat Diseases",Sphenoid Sinusitis,2
"Ear, Nose, and Throat Diseases",Susac Syndrome,2
"Ear, Nose, and Throat Diseases",Tinnitus,221
"Ear, Nose, and Throat Diseases",Tonsillar Neoplasms,4
"Ear, Nose, and Throat Diseases",Tonsillitis,80
"Ear, Nose, and Throat Diseases",Tympanic Membrane Perforation,20
"Ear, Nose, and Throat Diseases",Usher Syndromes,16
"Ear, Nose, and Throat Diseases",Velopharyngeal Insufficiency,8
"Ear, Nose, and Throat Diseases",Vertigo,163
"Ear, Nose, and Throat Diseases",Vestibular Diseases,156
"Ear, Nose, and Throat Diseases",Vestibular Neuronitis,18
"Ear, Nose, and Throat Diseases",Vestibulocochlear Nerve Diseases,91
"Ear, Nose, and Throat Diseases",Vocal Cord Dysfunction,17
"Ear, Nose, and Throat Diseases",Vocal Cord Paralysis,29
"Ear, Nose, and Throat Diseases",Voice Disorders,90
"Ear, Nose, and Throat Diseases",Wolfram Syndrome,6
Eye Diseases,Acanthamoeba Keratitis,5
Eye Diseases,Aicardi Syndrome,2
Eye Diseases,Albinism,30
Eye Diseases,"Albinism, Ocular",2
Eye Diseases,"Albinism, Oculocutaneous",12
Eye Diseases,Alstrom Syndrome,6
Eye Diseases,Amaurosis Fugax,3
Eye Diseases,Amblyopia,92
Eye Diseases,Angioid Streaks,9
Eye Diseases,Aniridia,17
Eye Diseases,Aniseikonia,4
Eye Diseases,Anisometropia,13
Eye Diseases,Anophthalmos,3
Eye Diseases,Aphakia,25
Eye Diseases,Arcus Senilis,1
Eye Diseases,Asthenopia,17
Eye Diseases,Astigmatism,224
Eye Diseases,Bardet-Biedl Syndrome,9
Eye Diseases,Behcet Syndrome,64
Eye Diseases,Blepharitis,43
Eye Diseases,Blepharoptosis,29
Eye Diseases,Blepharospasm,40
Eye Diseases,Blindness,201
Eye Diseases,Capsule Opacification,100
Eye Diseases,Cataract,949
Eye Diseases,Central Serous Chorioretinopathy,57
Eye Diseases,Chalazion,8
Eye Diseases,Chediak-Higashi Syndrome,12
Eye Diseases,Chorioretinitis,8
Eye Diseases,Choroid Diseases,260
Eye Diseases,Choroid Hemorrhage,1
Eye Diseases,Choroid Neoplasms,5
Eye Diseases,Choroidal Neovascularization,237
Eye Diseases,Choroideremia,20
Eye Diseases,Choroiditis,40
Eye Diseases,Cogan Syndrome,6
Eye Diseases,Coloboma,6
Eye Diseases,Color Vision Defects,13
Eye Diseases,Cone Dystrophy,18
Eye Diseases,Cone-Rod Dystrophies,11
Eye Diseases,Conjunctival Diseases,977
Eye Diseases,Conjunctival Neoplasms,5
Eye Diseases,Conjunctivitis,898
Eye Diseases,"Conjunctivitis, Allergic",223
Eye Diseases,"Conjunctivitis, Bacterial",74
Eye Diseases,"Conjunctivitis, Inclusion",13
Eye Diseases,"Conjunctivitis, Viral",15
Eye Diseases,Corneal Diseases,1033
Eye Diseases,"Corneal Dystrophies, Hereditary",50
Eye Diseases,Corneal Edema,24
Eye Diseases,Corneal Endothelial Cell Loss,17
Eye Diseases,Corneal Injuries,16
Eye Diseases,Corneal Neovascularization,20
Eye Diseases,Corneal Opacity,29
Eye Diseases,Corneal Perforation,3
